márványszobrok[hy:márvány|szobor]
másfelek[hy:más|fél]
mászóvasak[hy:mászó|vas]
méhkenyerek[hy:méh|kenyér]
mélyvasutak[hy:mély||vas|út]
méregfogak[hy:méreg|fog]
méreggyilkok[hy:méreg|gyilok]
mérõrudak[hy:mérõ|rúd]
mézeshetek[hy:mézes|hét]
mûlegyek[hy:mû|légy]
mûselymek[hy:mû|selyem]
mûtermek[hy:mû|terem]
mûvajak[hy:mû|vaj]
nadrágszárak[hy:nadrág|szár]
nagyagyak[hy:nagy|agy]
nagyajkak[hy:nagy|ajak]
nagydíjak[hy:nagy|díj]
nagyfejedelmek[hy:nagy|fejedelem]
nagyhalak[hy:nagy|hal]
nagyhatalmak[hy:nagy|hatalom]
nagyhetek[hy:nagy|hét]
nagykanalak[hy:nagy|kanál]
nagykereskedelmek[hy:nagy|kereskedelem]
nagytermek[hy:nagy|terem]
